month,scenario,seed,parameter,estimate,std_error,lp__,n_converged,n_success,lower_95,upper_95
may,towards_zero,100,beta,-6.4042733,0.06773531442033069,-1688.4877,10,10,-6.537034516263848,-6.271512083736152
may,towards_zero,100,delta,8.8417879,0.3224629377586424,-1688.4877,10,10,8.209760541993061,9.473815258006939
may,towards_zero,100,gamma,0.36791577,0.7972680815742534,-1688.4877,10,10,-1.1947296698855367,1.9305612098855367
may,towards_zero,100,alpha,1.0000859,1.8636451952809003,-1688.4877,10,10,-2.6526586827505643,4.652830482750565
may,towards_zero,100,eta1,0.36789535,0.8318261906015533,-1688.4877,10,10,-1.2624839835790445,1.9982746835790444
may,towards_zero,100,eta2,0.36789511,0.7060116783470701,-1688.4877,10,10,-1.0158877795602574,1.7516779995602576
may,informed_priors,100,beta,-6.406624,0.06779344829923611,-1693.9466,10,10,-6.539499158666502,-6.273748841333497
may,informed_priors,100,delta,8.8502563,0.3222780633482177,-1693.9466,10,10,8.218591295837493,9.481921304162507
may,informed_priors,100,gamma,886.21259,3036.623827247186,-1693.9466,10,10,-5065.570111404484,6837.995291404484
may,informed_priors,100,alpha,1.2516544,1.813005958668699,-1693.9466,10,10,-2.30183727899065,4.80514607899065
may,informed_priors,100,eta1,0.36756929,0.8310889562330175,-1693.9466,10,10,-1.2613650642167142,1.9965036442167143
may,informed_priors,100,eta2,0.36757379,0.7053950477859117,-1693.9466,10,10,-1.0150005036603869,1.7501480836603869
jun,towards_zero,100,beta,-2.9443632,0.017499129170363285,-13947.768,10,10,-2.978661493173912,-2.910064906826088
jun,towards_zero,100,delta,6.0416967,0.2648155333545861,-13947.768,10,10,5.522658254625012,6.560735145374989
jun,towards_zero,100,gamma,0.36897085,0.8334590280651218,-13947.768,10,10,-1.264608845007639,2.002550545007639
jun,towards_zero,100,alpha,0.99832406,1.8382405710734373,-13947.768,10,10,-2.6046274593039374,4.6012755793039375
jun,towards_zero,100,eta1,0.074418572,0.038230494561924025,-13947.768,10,10,-0.0005131973413710911,0.1493503413413711
jun,towards_zero,100,eta2,0.36182877,0.6890430285758101,-13947.768,10,10,-0.9886955660085879,1.712353106008588
jun,informed_priors,100,beta,-3.0818621,0.01909508301911746,-13479.544,10,10,-3.11928846271747,-3.0444357372825297
jun,informed_priors,100,delta,6.2662824,0.3593753410620325,-13479.544,10,10,5.561906731518416,6.970658068481583
jun,informed_priors,100,gamma,25709.617,3457.0185029391564,-13479.544,10,10,18933.86073423925,32485.373265760747
jun,informed_priors,100,alpha,1.8301199,0.07186664623169088,-13479.544,10,10,1.6892612733858858,1.970978526614114
jun,informed_priors,100,eta1,0.35655781,0.06430049973577338,-13479.544,10,10,0.23052883051788414,0.4825867894821158
jun,informed_priors,100,eta2,0.84992941,0.12498150401650923,-13479.544,10,10,0.6049656621276419,1.0948931578723582
jul,towards_zero,100,beta,-3.4660457,0.024356318314224537,-13090.552,10,10,-3.5137840838958803,-3.4183073161041198
jul,towards_zero,100,delta,0.28369167,0.009779062908430206,-13090.552,10,10,0.2645247066994768,0.3028586333005232
jul,towards_zero,100,gamma,1188.0469,87.75509517482807,-13090.552,10,10,1016.046913457337,1360.046886542663
jul,towards_zero,100,alpha,0.58290468,0.04632727425547473,-13090.552,10,10,0.49210322245926946,0.6737061375407304
jul,towards_zero,100,eta1,0.037257997,0.016301085376091172,-13090.552,10,10,0.005307869662861307,0.06920812433713869
jul,towards_zero,100,eta2,0.60372208,0.029673440394076833,-13090.552,10,10,0.5455621368276095,0.6618820231723906
jul,informed_priors,100,beta,-3.4663997,0.024351405752880837,-13067.129,10,10,-3.5141284552756464,-3.418670944724354
jul,informed_priors,100,delta,0.28321981,0.009801843734776616,-13067.129,10,10,0.26400819627983785,0.3024314237201622
jul,informed_priors,100,gamma,1236.6456,89.78395963332834,-13067.129,10,10,1060.6690391186764,1412.6221608813237
jul,informed_priors,100,alpha,0.59676547,0.04661740924261444,-13067.129,10,10,0.5053953478844757,0.6881355921155243
jul,informed_priors,100,eta1,0.037566137,0.016369470482186524,-13067.129,10,10,0.005481974854914411,0.06965029914508558
jul,informed_priors,100,eta2,0.6147142,0.02957304278467387,-13067.129,10,10,0.5567510361420392,0.6726773638579607
